order_id,phone,date,country_code,amount
ORD001,9876543210,15/03/2024,IN,1500.00
ORD002,81234567,2024-03-15,SG,250.00
ORD003,9876543211,22/06/2024,IN,3200.50
ORD004,91234567,2024-01-10,SG,780.00
ORD005,12345,bad-date,IN,100.00
ORD006,,15/03/2024,IN,500.00
ORD001,9876543210,15/03/2024,IN,1500.00
ORD008,412345678,03-15-2024,AU,920.00
ORD009,9876543212,2024-12-25,IN,-50.00
ORD010,81234568,31/12/2024,SG,0
ORD011,9876543213,01/01/2025,IN,2100.00
ORD012,81234569,2024-06-30,SG,430.00
ORD013,,,,
ORD014,9876543214,15/13/2024,IN,800.00
ORD015,9876543215,28/02/2024,IN,1750.00
